#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
46.8%	234000	-40905.293392841006	26457.269107158994	300.30223631668423	0.955808202767729	33.8	22:40
47.0%	235000	-41149.515560809756	25968.921939190244	299.21392731061263	0.955808202767729	33.7	22:37
47.2%	236000	-40223.796810809756	27422.961001690244	301.5691787358428	0.955808202767729	33.7	22:33
47.4%	237000	-41161.147396747256	25777.508853252744	298.4124626777491	0.955808202767729	33.7	22:29
47.6%	238000	-41865.532162372256	25526.124087627744	300.4319362251139	0.955808202767729	33.6	22:25
47.8%	239000	-41278.000912372256	26241.342837627744	301.00116697252923	0.955808202767729	33.6	22:22
48.0%	240000	-41462.944271747256	25682.180728252744	299.3329001589466	0.955808202767729	33.6	22:18
48.2%	241000	-40904.412045184756	26168.517642315244	299.0110535279588	0.955808202767729	33.5	22:14
48.4%	242000	-41954.617123309756	25127.429751690244	299.05169794072395	0.955808202767729	33.5	22:10
48.6%	243000	-42006.301205341006	25950.690982158994	302.9522032696082	0.955808202767729	33.5	22:06
48.8%	244000	-41454.250912372256	25462.389712627744	298.314317043497	0.955808202767729	33.4	22:02
49.0%	245000	-41274.904720966006	25350.970279033994	297.01808417777846	0.955808202767729	33.4	21:58
49.2%	246000	-42238.964291278506	24835.910708721494	299.01972572914	0.955808202767729	33.4	21:54
49.4%	247000	-42096.955990497256	24312.044009502744	296.05125564447883	0.955808202767729	33.4	21:50
49.6%	248000	-42507.399349872256	25019.241275127744	301.0336964339882	0.955808202767729	33.3	21:46
49.8%	249000	-41736.740658466006	25581.993716533994	300.10685057922706	0.955808202767729	33.3	21:42
50.0%	250000	-41826.290463153506	25629.553286846494	300.7180840359781	0.955808202767729	33.3	21:38
50.2%	251000	-42742.117123309756	23628.226626690244	295.878926120604	0.955808202767729	33.2	21:34
50.4%	252000	-42320.990170184756	24250.978579815244	296.7777701691413	0.955808202767729	33.2	21:30
50.6%	253000	-41606.943295184756	24922.853579815244	296.58976799252923	0.955808202767729	33.2	21:26
50.8%	254000	-42302.794857684756	24733.103579815244	298.84596825246024	0.955808202767729	33.2	21:22
51.0%	255000	-42561.941342059756	24181.558657940244	297.54245631024816	0.955808202767729	33.1	21:18
51.2%	256000	-42363.738217059756	24461.511782940244	297.906897728564	0.955808202767729	33.1	21:13
51.4%	257000	-42635.698177997256	24505.754947002744	299.31653094386553	0.955808202767729	33.1	21:09
51.6%	258000	-42906.974545184756	23878.962954815244	297.73164264284486	0.955808202767729	33	21:05
51.8%	259000	-43244.598568622256	23943.229556377744	299.52327064752785	0.955808202767729	33	21:01
52.0%	260000	-41697.345150653506	24977.982974346494	297.23854615961517	0.955808202767729	33	20:56
52.2%	261000	-42058.906185809756	24670.296939190244	297.47872085578354	0.955808202767729	33	20:52
52.4%	262000	-42366.478451434756	24788.466861065244	299.3766791022592	0.955808202767729	32.9	20:48
52.6%	263000	-43012.980892841006	24442.683169658994	300.71728298928264	0.955808202767729	32.9	20:44
52.8%	264000	-43883.565365497256	23242.161197002744	299.2464219439544	0.955808202767729	32.9	20:39
53.0%	265000	-42909.131283466006	24299.915591533994	299.6178638138262	0.955808202767729	32.9	20:35
53.2%	266000	-43395.832943622256	22462.042056377744	293.59434094516	0.955808202767729	32.8	20:31
53.4%	267000	-43682.671810809756	23149.289126690244	297.9368150812335	0.955808202767729	32.8	20:27
53.6%	268000	-42092.664974872256	24614.663150127744	297.3812021276409	0.955808202767729	32.8	20:22
53.8%	269000	-41114.505795184756	25003.494204815244	294.7539779352445	0.955808202767729	32.8	20:18
54.0%	270000	-42117.334896747256	25090.196353252744	299.61110715909064	0.955808202767729	32.7	20:13
54.2%	271000	-41795.753842059756	25474.277407940244	299.88973209664096	0.955808202767729	32.7	20:09
54.4%	272000	-42331.103451434756	24593.880923565244	298.35151347266	0.955808202767729	32.7	20:05
54.6%	273000	-42529.760677997256	24624.840884502744	299.37514666510265	0.955808202767729	32.7	20:00
54.8%	274000	-42406.716732684756	24527.986392315244	298.39483965044906	0.955808202767729	32.6	19:56
55.0%	275000	-41765.741146747256	25041.735415752744	297.82766376194814	0.955808202767729	32.6	19:51
55.2%	276000	-42731.286068622256	24907.870181377744	301.5352909778132	0.955808202767729	32.6	19:47
55.4%	277000	-42670.182552997256	24538.208072002744	299.6149382519819	0.955808202767729	32.6	19:42
55.6%	278000	-43758.415951434756	22990.326236065244	297.56582597688526	0.955808202767729	32.6	19:38
55.8%	279000	-44039.171810809756	22499.250064190244	296.6282182339112	0.955808202767729	32.5	19:33
56.0%	280000	-44674.283138934756	22403.349673565244	299.0320200545095	0.955808202767729	32.5	19:29
56.2%	281000	-43788.323666278506	23497.191958721494	299.9587614249191	0.955808202767729	32.5	19:24
56.4%	282000	-43816.308529559756	23333.253970440244	299.3526825295127	0.955808202767729	32.5	19:20
56.6%	283000	-42686.094662372256	24523.022525127744	299.61817726688093	0.955808202767729	32.4	19:15
56.8%	284000	-42782.036556903506	24200.268130596494	298.6070473685108	0.955808202767729	32.4	19:11
57.0%	285000	-42447.540951434756	24507.693423565244	298.4863679424343	0.955808202767729	32.4	19:06
57.2%	286000	-43605.768490497256	22968.044009502744	296.785989604799	0.955808202767729	32.4	19:02
57.4%	287000	-44319.500912372256	22475.374087627744	297.77148600891456	0.955808202767729	32.4	18:57
57.6%	288000	-43666.457943622256	23711.815493877744	300.3722756603609	0.955808202767729	32.3	18:52
57.8%	289000	-44335.504818622256	23384.682681377744	301.8965282093472	0.955808202767729	32.3	18:48
58.0%	290000	-42542.183041278506	24499.402896221494	298.87132312177727	0.955808202767729	32.3	18:43
58.2%	291000	-44077.642025653506	22738.279849346494	297.8653129566346	0.955808202767729	32.3	18:38
58.4%	292000	-44803.934017841006	22301.495669658994	299.1559384954849	0.955808202767729	32.3	18:34
58.6%	293000	-44123.871517841006	22605.503482158994	297.4794870743618	0.955808202767729	32.2	18:29
58.8%	294000	-42968.204037372256	24378.585025127744	300.23191834806994	0.955808202767729	32.2	18:24
59.0%	295000	-43523.205013934756	23563.677798565244	299.0732565452669	0.955808202767729	32.2	18:20
59.2%	296000	-43942.413021747256	23737.047915752744	301.714969234416	0.955808202767729	32.2	18:15
59.4%	297000	-43507.645443622256	23021.424868877744	296.5865289776302	0.955808202767729	32.2	18:10
59.6%	298000	-43945.234310809756	22920.453189190244	298.0871680631591	0.955808202767729	32.1	18:06
59.8%	299000	-43854.163021747256	23088.368228252744	298.4297374238772	0.955808202767729	32.1	18:01
60.0%	300000	-43603.310970966006	24224.962466533994	302.3783752107233	0.955808202767729	32.1	17:56
60.2%	301000	-44478.422787372256	22447.139712627744	298.3540907533323	0.955808202767729	32.1	17:51
60.4%	302000	-42792.070248309756	24136.445376690244	298.3672557816315	0.955808202767729	32.1	17:47
60.6%	303000	-42254.072201434756	25052.412173565244	300.0522400914672	0.955808202767729	32	17:42
60.8%	304000	-42507.919857684756	24547.455142315244	298.9327947486243	0.955808202767729	32	17:37
61.0%	305000	-42810.767513934756	23613.943423565244	296.1212949881555	0.955808202767729	32	17:32
61.2%	306000	-42679.448666278506	24574.738833721494	299.81910067497193	0.955808202767729	32	17:27
61.4%	307000	-42695.298763934756	24114.521548565244	297.8381121971063	0.955808202767729	32	17:23
61.6%	308000	-42807.055599872256	24092.100650127744	298.2363717172173	0.955808202767729	32	17:18
61.8%	309000	-42389.162533466006	24574.642154033994	298.52457438699594	0.955808202767729	31.9	17:13
62.0%	310000	-42340.914974872256	25030.366275127744	300.34110449547245	0.955808202767729	31.9	17:08
62.2%	311000	-42878.811459247256	23804.243228252744	297.2729911675198	0.955808202767729	31.9	17:03
62.4%	312000	-43036.218685809756	23621.125064190244	297.158371833835	0.955808202767729	31.9	16:58
62.6%	313000	-43361.046810809756	23264.984439190244	297.01878074012234	0.955808202767729	31.9	16:53
62.8%	314000	-43318.901302997256	23778.395572002744	299.1196824254862	0.955808202767729	31.9	16:49
63.0%	315000	-42769.568783466006	24181.946841533994	298.46978975865005	0.955808202767729	31.8	16:44
63.2%	316000	-43130.710873309756	23726.101626690244	298.04760332202693	0.955808202767729	31.8	16:39
63.4%	317000	-43330.810482684756	23669.416079815244	298.68694306935333	0.955808202767729	31.8	16:34
63.6%	318000	-42658.930599872256	24372.522525127744	298.826151053777	0.955808202767729	31.8	16:29
63.8%	319000	-43611.857357684756	23213.283267315244	297.9064101349233	0.955808202767729	31.8	16:24
64.0%	320000	-43637.763607684756	24080.048892315244	301.8859404617203	0.955808202767729	31.8	16:19
64.2%	321000	-42136.891537372256	24865.124087627744	298.69491870819076	0.955808202767729	31.7	16:14
64.4%	322000	-42118.430599872256	25283.335025127744	300.4770038087626	0.955808202767729	31.7	16:09
64.6%	323000	-42131.960873309756	25006.625064190244	299.3037490248554	0.955808202767729	31.7	16:04
64.8%	324000	-42332.121029559756	25024.261782940244	300.2746872759839	0.955808202767729	31.7	15:59
65.0%	325000	-40995.887142841006	25604.315982158994	296.9036389846796	0.955808202767729	31.7	15:54
65.2%	326000	-42436.498959247256	24466.438540752744	298.25322852593905	0.955808202767729	31.7	15:49
65.4%	327000	-43345.691342059756	23858.949282940244	299.5982207557289	0.955808202767729	31.6	15:44
65.6%	328000	-43786.711849872256	23260.053775127744	298.89441416347677	0.955808202767729	31.6	15:39
65.8%	329000	-42640.432552997256	24241.778384502744	298.160829531024	0.955808202767729	31.6	15:34
66.0%	330000	-43400.594662372256	24054.608462627744	300.71522813036825	0.955808202767729	31.6	15:29
